frame,delta
5230,-0.6684
17670,-0.614
13315,-0.609
17675,-0.5833
12095,-0.5413
17755,-0.5406
9870,-0.5301
8475,-0.5262
5255,-0.5258
17650,-0.4999
10055,-0.4811
12110,-0.4804
725,-0.4765
10070,-0.475
15990,-0.4734
17765,-0.4703
8470,-0.4626
12090,-0.4571
10050,-0.4519
12105,-0.4516
17770,-0.4458
2610,-0.442
17750,-0.4366
8445,-0.4323
8325,-0.4308
5175,-0.427
805,-0.4232
17745,-0.421
5245,-0.4142
2695,-0.4104
2665,-0.4083
2670,-0.4061
2735,-0.406
2660,-0.404
2680,-0.4038
2725,-0.4023
2675,-0.4021
2750,-0.4018
2720,-0.4002
2615,-0.3995
2745,-0.3994
2700,-0.3993
2760,-0.3985
2685,-0.3976
2765,-0.3969
2655,-0.396
1035,-0.3937
2705,-0.3937
12085,-0.3928
2690,-0.3917
1030,-0.3906
2755,-0.3904
2715,-0.3889
17645,-0.388
2730,-0.3869
2770,-0.3868
8450,-0.3868
2710,-0.3858
10765,-0.3855
11930,-0.3837
8530,-0.3819
2740,-0.3798
10075,-0.3674
2650,-0.3668
765,-0.3667
1450,-0.3642
10770,-0.3627
8315,-0.3622
2640,-0.3618
15670,-0.3617
5535,-0.3615
1210,-0.3606
155,-0.3604
8485,-0.3578
70,-0.3549
9415,-0.3518
705,-0.3459
8495,-0.342
2645,-0.3419
9135,-0.3418
9830,-0.3372
5115,-0.335
2775,-0.3339
16000,-0.3335
315,-0.3328
8330,-0.3324
12100,-0.3304
15665,-0.3284
14820,-0.3278
2630,-0.3215
14805,-0.3215
17775,-0.3211
17685,-0.3204
10865,-0.3203
2635,-0.3197
8490,-0.3085
7270,-0.3032
2625,-0.3015
10810,-0.3015
5145,-0.2974
15995,-0.2947
14750,-0.2937
150,-0.2924
5090,-0.2865
7265,-0.2845
14815,-0.2844
1215,-0.2827
5260,-0.2827
8515,-0.2788
16005,-0.2778
14825,-0.276
15675,-0.2735
9825,-0.2715
3330,-0.2686
145,-0.268
310,-0.2679
5530,-0.2672
8630,-0.2663
9595,-0.2661
17445,-0.2658
14475,-0.2656
5570,-0.2638
9430,-0.2634
9840,-0.261
14810,-0.2607
5150,-0.2477
2780,-0.241
14595,-0.2368
170,-0.2356
10830,-0.2326
105,-0.2315
10845,-0.2303
9585,-0.2268
2620,-0.2262
885,-0.2233
1190,-0.2229
9590,-0.2203
6725,-0.2169
1195,-0.2163
9435,-0.2151
10815,-0.2151
6705,-0.2133
5575,-0.2125
890,-0.2119
5170,-0.2103
2790,-0.2094
7625,-0.2088
8465,-0.2087
5095,-0.2055
13310,-0.2053
1205,-0.2041
10775,-0.2004
65,-0.199
9190,-0.1939
1230,-0.1932
10870,-0.1918
5565,-0.1901
8535,-0.1873
735,-0.1861
8310,-0.1809
17725,-0.1805
6735,-0.18
7630,-0.1789
15660,-0.1783
1275,-0.1773
9660,-0.1761
1200,-0.1759
9865,-0.1756
7290,-0.175
7165,-0.1747
9805,-0.174
10805,-0.174
14470,-0.1725
7275,-0.1722
12650,-0.1719
335,-0.1709
5110,-0.1707
12850,-0.1699
8415,-0.1694
15735,-0.1677
2465,-0.1668
10785,-0.1663
175,-0.1639
7160,-0.1634
14745,-0.1625
7285,-0.1624
10085,-0.1622
1065,-0.1613
17700,-0.1612
330,-0.1595
12810,-0.1573
1175,-0.1572
1235,-0.1547
13235,-0.1524
115,-0.1519
9855,-0.1504
10960,-0.1503
10965,-0.1495
5580,-0.149
15715,-0.1487
5085,-0.1475
14940,-0.1463
90,-0.146
1750,-0.1458
2595,-0.1456
1025,-0.1445
8335,-0.1441
5155,-0.144
17635,-0.1426
17450,-0.142
17730,-0.1417
6515,-0.1378
1170,-0.1377
5600,-0.1369
17620,-0.1369
3335,-0.1368
795,-0.1367
1060,-0.1367
10985,-0.1351
13350,-0.1344
10835,-0.1339
15655,-0.1339
12855,-0.133
14830,-0.1323
8210,-0.1316
14510,-0.129
13220,-0.1286
14505,-0.1266
12815,-0.1263
9195,-0.1258
8455,-0.1256
10955,-0.1246
7550,-0.1245
1410,-0.1229
8345,-0.1205
14935,-0.1197
325,-0.1194
2425,-0.1185
15730,-0.1183
8410,-0.1182
14900,-0.1182
10790,-0.1177
13230,-0.1173
9150,-0.1162
5185,-0.1137
1430,-0.1111
6490,-0.111
17305,-0.1101
12785,-0.1098
6730,-0.1088
5165,-0.1085
6495,-0.108
7600,-0.1077
7280,-0.1071
10970,-0.1053
85,-0.1051
8215,-0.1048
14835,-0.1041
9155,-0.1039
2470,-0.1025
7295,-0.1014
5895,-0.1012
14740,-0.1007
9535,-0.1
210,-0.098
17735,-0.098
1270,-0.0979
9425,-0.0978
5180,-0.0975
8350,-0.0952
2785,-0.0945
9300,-0.0938
12665,-0.0936
9110,-0.0935
5540,-0.0923
7170,-0.0923
4175,-0.0913
10090,-0.0909
5595,-0.0904
5585,-0.0899
130,-0.0895
8505,-0.0893
13225,-0.0889
12805,-0.0869
12660,-0.0868
7570,-0.0861
17705,-0.0849
185,-0.0844
3365,-0.0842
7605,-0.084
9185,-0.0837
6485,-0.0835
17690,-0.0832
10950,-0.0831
15720,-0.0807
195,-0.0801
10685,-0.08
10145,-0.0798
10980,-0.0788
2590,-0.0782
