frame,mean_iou,iou_v0,iou_v1,iou_v2,iou_v3,iou_v4,iou_v5
0,0.6117,0.5534,0.606,0.4659,0.8076,0.7312,0.5061
5,0.6025,0.5564,0.5898,0.4737,0.8194,0.6738,0.5018
10,0.5835,0.5399,0.5622,0.4573,0.787,0.6653,0.4893
15,0.5833,0.546,0.5663,0.4564,0.7768,0.6678,0.4863
20,0.5925,0.5523,0.5653,0.4524,0.7821,0.7179,0.4851
25,0.5903,0.5553,0.5657,0.4442,0.7849,0.7089,0.483
30,0.5805,0.5577,0.5636,0.4327,0.7664,0.6884,0.474
35,0.579,0.5613,0.5655,0.4363,0.7496,0.6779,0.4831
40,0.5788,0.5623,0.5605,0.4372,0.7633,0.6642,0.4856
45,0.5732,0.5491,0.5435,0.4299,0.7793,0.6638,0.4735
50,0.5647,0.5341,0.5325,0.418,0.7669,0.6722,0.4642
55,0.5596,0.5126,0.5197,0.4097,0.7733,0.6753,0.4667
60,0.557,0.4847,0.501,0.4177,0.7845,0.6923,0.4619
65,0.5413,0.4488,0.4855,0.378,0.7615,0.7256,0.4484
70,0.5383,0.442,0.4699,0.3692,0.7545,0.7432,0.4511
75,0.5398,0.4346,0.4573,0.3758,0.7558,0.759,0.4563
80,0.5466,0.4337,0.4324,0.3881,0.776,0.7831,0.4662
85,0.5433,0.427,0.4197,0.3853,0.7745,0.7784,0.4749
90,0.535,0.4193,0.4148,0.3791,0.7487,0.7618,0.4861
95,0.5292,0.4205,0.4095,0.3843,0.7305,0.7388,0.4917
100,0.5295,0.4139,0.3979,0.4087,0.7159,0.7348,0.5058
105,0.5179,0.3974,0.3883,0.391,0.7178,0.7075,0.5051
110,0.5218,0.4089,0.3951,0.3724,0.7373,0.7247,0.4928
115,0.546,0.4248,0.4164,0.3726,0.7848,0.7843,0.4929
120,0.5615,0.4397,0.4296,0.3653,0.814,0.8386,0.4817
125,0.5509,0.4258,0.4211,0.3781,0.8065,0.7924,0.4814
