frame,view,psnr,ssim,n_fg_px
1800,0,16.896,0.4544,50444
1800,1,16.628,0.6502,40206
1800,2,14.199,0.3587,37111
1800,3,17.985,0.374,43492
1800,4,15.605,0.608,53285
1800,5,16.14,0.5678,29116
2700,0,16.415,0.3637,42243
2700,1,14.206,0.4587,33490
2700,2,14.836,0.4912,86434
2700,3,15.108,0.3349,31960
2700,4,15.692,0.6971,46802
2700,5,15.915,0.5679,36112
5400,0,16.167,0.3496,28045
5400,1,15.916,0.5091,38771
5400,2,16.146,0.5259,41920
5400,3,16.031,0.4654,73986
5400,4,18.875,0.5617,34483
5400,5,15.147,0.7356,41121
10800,0,16.842,0.2628,63413
10800,1,16.221,0.423,44332
10800,2,15.547,0.3436,102155
10800,3,17.21,0.2658,42954
10800,4,16.656,0.5267,93497
10800,5,16.159,0.4182,42565
15120,0,16.752,0.3468,38142
15120,1,15.34,0.5283,40272
15120,2,13.778,0.6586,52623
15120,3,17.055,0.262,33660
15120,4,16.052,0.5243,47799
15120,5,14.593,0.6157,23678
