frame,d_iou_belly,d_iou_global,post_iou_belly,post_iou_global,pre_iou_belly,pre_iou_global
70,0.7025,0.0199,0.8859,0.5582,0.1834,0.5383
105,0.5554,0.0081,0.8418,0.526,0.2863,0.5179
145,0.7264,0.0073,0.9803,0.5292,0.2539,0.5219
150,0.6695,0.0168,0.898,0.5377,0.2285,0.5209
155,0.7142,0.0051,0.8718,0.5232,0.1577,0.5181
170,0.5981,0.0376,0.8748,0.5498,0.2767,0.5122
310,0.6211,0.0558,0.9937,0.6964,0.3726,0.6405
315,0.3144,0.0639,0.6081,0.6904,0.2937,0.6265
705,0.7276,0.0791,0.9848,0.6821,0.2572,0.6031
725,0.7074,0.0612,0.874,0.7042,0.1666,0.643
765,,0.0084,,0.7006,,0.6922
805,0.6099,0.0401,0.8458,0.6991,0.2358,0.659
885,0.4942,0.0034,0.8357,0.5682,0.3415,0.5648
890,0.468,-0.0061,0.8103,0.548,0.3423,0.5542
1030,0.5794,0.0754,0.7776,0.6642,0.1982,0.5888
1035,0.5788,0.0509,0.7989,0.6647,0.2201,0.6138
1190,0.1305,0.0414,0.5846,0.7184,0.4541,0.677
1195,0.5287,0.0324,1.0,0.7201,0.4713,0.6877
1205,0.1715,0.0262,0.6448,0.7036,0.4732,0.6773
1210,0.4859,0.0506,0.7604,0.6857,0.2745,0.6351
1215,0.4505,0.0303,0.7971,0.6596,0.3466,0.6293
1450,,0.0124,,0.6266,,0.6142
2610,,0.039,,0.6763,,0.6373
2615,0.5786,0.0565,0.7982,0.6757,0.2197,0.6192
2620,,0.0834,,0.6906,,0.6072
2625,,0.0869,,0.6723,,0.5854
2630,,0.0838,,0.6654,,0.5816
2635,,0.083,,0.6671,,0.584
2640,,0.0816,,0.6727,,0.591
2645,,0.0834,,0.6764,,0.5929
2650,,0.0863,,0.6761,,0.5897
2655,,0.0823,,0.6715,,0.5892
2660,,0.0731,,0.6625,,0.5894
2665,,0.0753,,0.6625,,0.5872
2670,,0.0793,,0.6673,,0.588
2675,,0.0789,,0.6659,,0.587
2680,,0.0741,,0.6613,,0.5872
2685,,0.0844,,0.6734,,0.589
2690,,0.0773,,0.666,,0.5887
2695,,0.0726,,0.6588,,0.5863
2700,,0.0782,,0.6644,,0.5863
2705,,0.0774,,0.6649,,0.5876
2710,,0.0771,,0.6644,,0.5873
2715,,0.0899,,0.676,,0.5861
2720,,0.0759,,0.6626,,0.5867
2725,,0.0857,,0.672,,0.5862
2730,,0.0736,,0.662,,0.5884
2735,,0.0811,,0.6674,,0.5863
2740,,0.076,,0.6623,,0.5863
2745,,0.0742,,0.6606,,0.5864
2750,,0.0773,,0.6626,,0.5853
2755,,0.0834,,0.6709,,0.5876
2760,,0.0776,,0.6626,,0.585
2765,,0.0834,,0.6613,,0.5779
2770,,0.1057,,0.6675,,0.5618
2775,,0.1105,,0.658,,0.5475
2780,,0.0959,,0.674,,0.5781
2790,,0.1397,,0.6824,,0.5427
3330,0.4089,0.0985,0.7078,0.666,0.2989,0.5675
5090,0.5616,0.0613,0.8664,0.6526,0.3048,0.5913
5095,0.4543,0.0474,0.8269,0.6255,0.3726,0.5781
5115,,0.0375,,0.6446,,0.6071
5145,0.4013,0.0065,0.7589,0.6615,0.3576,0.655
5150,0.4083,0.0176,0.8096,0.6665,0.4013,0.649
5170,0.1814,-0.0056,0.6604,0.6838,0.4791,0.6893
5175,0.4177,0.0153,0.6691,0.6935,0.2513,0.6783
5230,,0.0252,,0.6937,,0.6684
5245,,0.0768,,0.6577,,0.5809
5255,,0.0793,,0.6051,,0.5258
5260,,0.0203,,0.6363,,0.616
5530,0.5017,0.055,0.8756,0.6961,0.3739,0.6412
5535,0.1222,0.0322,0.4216,0.6931,0.2994,0.6609
5570,0.1418,-0.0107,0.5808,0.6921,0.439,0.7028
5575,0.1371,0.0027,0.6328,0.7109,0.4957,0.7083
6705,0.6879,0.1486,1.0,0.674,0.3121,0.5254
6725,0.5677,0.0601,0.9706,0.6798,0.4029,0.6197
7265,0.4417,0.0497,0.7577,0.6503,0.316,0.6006
7270,0.4949,0.0555,0.7638,0.6277,0.2689,0.5722
7625,0.25,0.0447,0.6676,0.671,0.4176,0.6263
8315,0.3832,0.035,0.6615,0.6754,0.2783,0.6404
8325,0.149,0.005,0.364,0.6508,0.215,0.6458
8330,0.0171,-0.0079,0.3333,0.6409,0.3163,0.6487
8445,0.8459,0.0212,0.9314,0.539,0.0856,0.5178
8450,0.757,0.0458,0.8872,0.5628,0.1302,0.517
8465,0.6509,0.0216,0.9804,0.5598,0.3295,0.5382
8470,0.8735,0.0022,0.9488,0.5401,0.0753,0.5379
8475,0.9826,0.0164,0.9826,0.5427,0.0,0.5262
8485,0.8168,0.0296,0.9927,0.5634,0.176,0.5338
8490,0.75,0.0184,0.968,0.5449,0.218,0.5265
8495,0.7827,0.0379,0.9494,0.5466,0.1667,0.5087
8515,0.7399,0.0316,0.9511,0.5216,0.2111,0.49
8530,0.8377,0.0249,0.9534,0.5225,0.1157,0.4976
8630,0.6736,0.0261,1.0,0.6188,0.3264,0.5927
9135,0.6391,-0.0018,0.8097,0.5107,0.1706,0.5125
9415,0.5799,0.0995,0.749,0.6204,0.1691,0.5209
9430,0.4096,0.0783,0.6867,0.6189,0.2772,0.5406
9435,0.3933,0.0443,0.7386,0.6048,0.3453,0.5604
9585,0.325,0.0264,0.7478,0.676,0.4228,0.6496
9590,0.4311,0.0431,0.8645,0.6968,0.4334,0.6537
9595,0.4159,0.0365,0.8191,0.7058,0.4032,0.6693
9825,0.3146,0.0355,0.6611,0.6536,0.3466,0.6181
9830,0.6295,0.0792,0.8665,0.6534,0.237,0.5742
9840,0.2919,-0.0012,0.6961,0.6641,0.4042,0.6653
9870,0.6199,0.0674,0.6886,0.6662,0.0687,0.5988
10050,,0.056,,0.6747,,0.6186
10055,,0.0419,,0.6782,,0.6363
